,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image
200,23623,Girls,Apparel,Topwear,Tops,Pink,Fall,2011.0,Casual,Doodle Kids Girls Pink I love Shopping Top,23623.jpg
201,17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Lotto Men Atlantica Black Sports Shoe,17416.jpg
205,12958,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,ADIDAS Men Sports Black Sports Shoes,12958.jpg
206,27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,2011.0,Ethnic,Mother Earth Women Magenta Kurta,27283.jpg
224,42426,Women,Apparel,Topwear,Kurtas,Sea Green,Summer,2012.0,Ethnic,Aurelia Women Sea Green Kurta,42426.jpg
227,10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Jealous 21 Women Uaine Purple Tops,10401.jpg
229,21346,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016.0,Casual,Pal Zileri Men Casual Gold Frame Sunglasses,21346.jpg
232,37223,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Blue Top,37223.jpg
249,50325,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,2012.0,Ethnic,Aurelia Women Navy Blue Kurta,50325.jpg
255,27277,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Mother Earth Women Blue Kurta,27277.jpg
258,31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,2012.0,Ethnic,W Women Peach Kurta,31312.jpg
260,55657,Women,Footwear,Shoes,Heels,Gold,Winter,2015.0,Casual,Catwalk Women Golden Wedges,55657.jpg
307,14431,Women,Footwear,Shoes,Heels,Black,Summer,2012.0,Casual,Enroute Women Casual Black Flats,14431.jpg
322,51693,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Van Heusen Unisex Brown Sunglasses,51693.jpg
335,28207,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Ray-Ban Men Active Lifestyle Black Sunglasses,28207.jpg
372,14409,Women,Footwear,Shoes,Heels,White,Summer,2012.0,Casual,Enroute Women Casual White Heels,14409.jpg
392,16950,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Image Men Sunglasses,16950.jpg
432,30668,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Park Avenue Men Black Sunglasses,30668.jpg
494,51694,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Van Heusen Unisex Sunglasses VH216-C2,51694.jpg
527,34455,Women,Footwear,Shoes,Heels,Black,Spring,2013.0,Formal,Rocia Women Black Shoes,34455.jpg
546,20267,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Casual Black Heels,20267.jpg
578,55650,Women,Footwear,Shoes,Heels,Multi,Winter,2015.0,Casual,Catwalk Women Multi-coloured Heels,55650.jpg
603,21341,Men,Accessories,Eyewear,Sunglasses,Steel,Winter,2016.0,Casual,Pal Zileri Men Casual Steel Frame Sunglasses,21341.jpg
